city,CH,date,time_int,time_str,dayofweek,meter,busy,road,way,weather,video
Suwon,CH08,20200720,1700,daytime,MON,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200720,1730,nighttime,MON,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200720,1800,nighttime,MON,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200720,1900,nighttime,MON,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200720,1930,nighttime,MON,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200720,2000,nighttime,MON,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200720,2030,nighttime,MON,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200721,1530,daytime,TUE,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200721,1600,daytime,TUE,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200721,1630,daytime,TUE,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200721,1700,daytime,TUE,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200721,1800,nighttime,TUE,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200721,1830,nighttime,TUE,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200721,1900,nighttime,TUE,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200721,1930,nighttime,TUE,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200721,2030,nighttime,TUE,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200721,2100,nighttime,TUE,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200722,1400,daytime,WED,9m,NH,highway,OW5,rainy,FHD
Suwon,CH08,20200722,1430,daytime,WED,9m,NH,highway,OW5,rainy,FHD
Suwon,CH08,20200722,1530,daytime,WED,9m,NH,highway,OW5,rainy,FHD
Suwon,CH08,20200722,1600,daytime,WED,9m,NH,highway,OW5,rainy,FHD
Suwon,CH08,20200722,1630,daytime,WED,9m,NH,highway,OW5,rainy,FHD
Suwon,CH08,20200722,1700,daytime,WED,9m,NH,highway,OW5,sunny,FHD
Suwon,CH08,20200722,1800,nighttime,WED,9m,NH,highway,OW5,sunny,FHD
