공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
[LG계열社] 대기업 Public Cloud(AWS/Azure/GCP),(주)키스템프그룹,등록일 23/09/26,오늘마감,서울 마포구,경력7년↑,대졸↑,정규직,,"GCP, 기술지원, 보안컨설팅, 정보보안, FAE 외 등록일 23/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46656380&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=2de2982f-3232-473f-8e0d-0061416c802c
Cloud(AWS GCP) 운영 경력직 모집 (중급),베이스라인파트너스(주),등록일 23/10/04,~ 11/03(금),서울 영등포구,경력 5~7년,초대졸↑,정규직,,"GCP, 네트워크, 클라우드, AWS, Git 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46686999&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=2de2982f-3232-473f-8e0d-0061416c802c
"Multi Cloud(AWS, Azure, GCP, OCI) 기술 지원 및 운영 담당자",(주)이지컴아이앤씨,수정일 23/09/22,~ 10/21(토),경기 용인시 기흥구,경력무관,고졸↑,정규직,"3,600 만원","GCP, 백엔드/서버개발, IT컨설팅, 솔루션, 클라우드 외 수정일 23/09/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46630610&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=2de2982f-3232-473f-8e0d-0061416c802c
Senior Quality Assurance Auditor (GCP)모집,국제백신연구소,등록일 23/09/11,채용시,서울 관악구,경력5년↑,대졸↑,정규직,,"CRA(임상연구원), QA, QC, 품질관리, 국제기구 등록일 23/09/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46551988&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=2de2982f-3232-473f-8e0d-0061416c802c
[인텔리전스랩스] 미디어개발팀 백엔드 개발자 (Java),(주)넥슨,등록일 23/08/16,채용시,경기 성남시 분당구,경력3년↑,학력무관,정규직,,"GCP, SE(시스템엔지니어), 프론트엔드, 네트워크, 클라우드 외 등록일 23/08/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46365135&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=2de2982f-3232-473f-8e0d-0061416c802c
[인텔리전스랩스] 데이터 분석가 (넥슨 플랫폼),(주)넥슨,등록일 23/09/27,채용시,경기 성남시 분당구,경력무관,학력무관,정규직,,"GCP, 데이터분석가, 머신러닝, 모델링, Python 외 등록일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46667497&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=2de2982f-3232-473f-8e0d-0061416c802c
[자율주행/서울] Robotics SW Engineer,(주)아데코코리아,등록일 23/10/05,~ 11/04(토),서울 성동구,경력5년↑,대졸↑,정규직,,"GCP, 기술지원, 프론트엔드, 알고리즘, 임베디드 외 등록일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46697557&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=2de2982f-3232-473f-8e0d-0061416c802c
CJ올리브네트웍스 수시 채용,씨제이올리브네트웍스(주),등록일 23/09/27,~ 10/22(일),서울 용산구,경력 4~16년,대졸↑,정규직,,"GCP, 데이터엔지니어, SI개발, 데이터마이닝, 딥러닝 외 등록일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46667909&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=2de2982f-3232-473f-8e0d-0061416c802c
"KB One 클라우드 통합MSP 관련 OP인원모집(조장, 조원)",(주)시스원,등록일 23/10/11,~ 11/10(금),서울 강서구,경력무관,학력무관,정규직·계약직,,"GCP, SI개발, SI영업, 제안서, RFP(제안요청서) 외 등록일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46734981&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=2de2982f-3232-473f-8e0d-0061416c802c
렌탈부문 하반기 대규모 채용,AJ네트웍스(주),수정일 23/09/14,오늘마감,서울 송파구,신입·경력,대졸↑,정규직·인턴직,,"GCP, 인프라, 클라우드, ERP, IDC 외 수정일 23/09/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46582836&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=2de2982f-3232-473f-8e0d-0061416c802c
