공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
[오픈메이트] 데이터엔지니어 및 Data Architect 인재 모집,(주)오픈메이트,등록일 23/10/10,~ 12/09(토),서울 서대문구,신입·경력,학력무관,정규직,,"데이터엔지니어, 데이터분석가, 데이터시각화, OracleDB, 빅데이터 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46721874&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=244d8e90-6e37-40f2-92f0-8590f0c033e0
데이터 엔지니어 (~2년),(주)텐바이텐,등록일 23/09/11,상시채용,서울 종로구,신입·경력,초대졸↑,정규직,,"SE(시스템엔지니어), 데이터시각화, 데이터마이닝, 빅데이터, 백엔드/서버개발 외 등록일 23/09/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46552092&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=244d8e90-6e37-40f2-92f0-8590f0c033e0
[패스오더] 급성장중인 스타트업 '데이터 엔지니어' 채용,(주)페이타랩,수정일 23/10/04,~ 10/17(화),부산 부산진구,경력무관,고졸↑,정규직·계약직,,"데이터엔지니어, 데이터분석가, 데이터시각화, 기술엔지니어, 데이터마이닝 외 수정일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46388839&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=244d8e90-6e37-40f2-92f0-8590f0c033e0
빅데이터 엔지니어 정규직 경력채용,데이터스랩(주),수정일 23/10/10,~ 11/04(토),인천 연수구,경력1년↑,고졸↑,정규직,,"데이터엔지니어, 데이터분석가, 데이터시각화, 데이터마이닝, 데이터라벨링 외 수정일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46709614&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=244d8e90-6e37-40f2-92f0-8590f0c033e0
빅데이터 엔지니어 정규직 신입채용,데이터스랩(주),수정일 23/10/06,~ 11/04(토),인천 연수구,신입,고졸↑,정규직,,"데이터엔지니어, 데이터분석가, 데이터시각화, 데이터마이닝, 데이터라벨링 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46709605&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=244d8e90-6e37-40f2-92f0-8590f0c033e0
[리디] 데이터 엔지니어,리디(주),수정일 23/07/13,상시채용,서울 강남구,경력 2~10년,학력무관,정규직,,"데이터엔지니어, SE(시스템엔지니어), 데이터분석가, 빅데이터, 백엔드/서버개발 외 수정일 23/07/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46103719&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=244d8e90-6e37-40f2-92f0-8590f0c033e0
데이터엔지니어,데이터얼라이언스(주),수정일 23/09/13,내일마감,서울 강남구,경력4년↑,대졸↑,정규직,,"데이터엔지니어, 빅데이터, 데이터분석, 웹개발, 웹마스터 외 수정일 23/09/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46570658&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=244d8e90-6e37-40f2-92f0-8590f0c033e0
데이터엔지니어 데이터분석가 및 AI개발자 모집,(주)아이티공간,수정일 23/10/07,상시채용,울산 남구,신입·경력,학력무관,정규직·전문연구요원,,"데이터분석가, .NET, C#, Java, MSSQL 외 수정일 23/10/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46530030&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=244d8e90-6e37-40f2-92f0-8590f0c033e0
[베스텔라랩] 빅데이터 엔지니어(경기/대구)(병특가능),(주)베스텔라랩,수정일 23/09/26,~ 10/16(월),경기전체,경력 2~7년,초대졸↑,정규직,,"SE(시스템엔지니어), 데이터분석가, 데이터시각화, 데이터마이닝, 빅데이터 외 수정일 23/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46654585&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=244d8e90-6e37-40f2-92f0-8590f0c033e0
데이터 엔지니어 모집,(주)코너스톤42,등록일 23/10/06,~ 12/05(화),서울 송파구,경력1년↑,학력무관,정규직,,"데이터엔지니어, DBA, 빅데이터, DW, AI(인공지능) 외 등록일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46706182&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=244d8e90-6e37-40f2-92f0-8590f0c033e0
