공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
[신입/경력] 데이터 사이언스 채용,(주)에즈웰플러스,등록일 23/09/12,~ 11/11(토),서울 강남구,신입·경력,초대졸↑,정규직,,"딥러닝, AI(인공지능), 모델링, Python, IT컨설팅 외 등록일 23/09/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46560047&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[데이터사이언스 전문가 양성사업]AI 데이터 분석 및 IT인력모집,(주)에스디테크,등록일 23/09/12,채용시,전남 순천시,경력무관,학력무관,정규직,,"데이터분석가, 빅데이터, 딥러닝, 머신러닝, 모델링 외 등록일 23/09/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46566956&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[정규직/인센티브/수당별도] 데이터사이언스 팀장/팀원 다수채용,(주)밸류링크코리아,수정일 23/10/06,오늘마감,서울 강남구,경력7년↑,석사↑,정규직,,"데이터분석가, 데이터시각화, 빅데이터, 머신러닝, Pandas 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46660167&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
데이터사이언스(팀장),주식회사 핀커스에이치알지,등록일 23/09/28,~ 10/28(토),서울 송파구,경력7년↑,석사↑,정규직,,"빅데이터, 딥러닝, 머신러닝, AI(인공지능), Tensorflow 외 등록일 23/09/28",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46669331&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
국립암센터 통계·데이터사이언스 과제연구원 채용공고,국립암센터,수정일 23/09/25,채용시,경기 고양시 일산동구,경력무관,석사↑,계약직,,"연구원, 의학통계분석, 보건통계분석, 전문병원 수정일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46648039&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[보라매병원 영상의학과] 데이터사이언스 연구교수 채용공고,서울특별시보라매병원,수정일 23/08/24,~ 10/23(월),서울 동작구,경력2년↑,석사↑,계약직,,"알고리즘개발, 의료기기연구, 이미지프로세싱, 학술연구, AI(인공지능) 외 수정일 23/08/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46432330&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[모아소프트] AI/Data Science연구소 소프트웨어 개발인력 구인,(주)모아소프트,수정일 23/10/04,~ 10/28(토),서울 송파구,경력무관,초대졸↑,정규직,,"AI(인공지능), C++, C언어, Java, Python 외 수정일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46455498&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[물류IT회사] IT기획 Data사이언스 담당,(주)씨앤에이코리아,등록일 23/10/07,~ 10/21(토),서울 마포구,경력 3~12년,대졸↑,정규직,,"IT영업, PM(프로젝트매니저), 기획, 리서치, 영업 외 등록일 23/10/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46714128&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
2023년 한미그룹 10월 수시채용 [각 부문별],한미약품(주),수정일 23/10/10,~ 10/23(월),서울 송파구,신입·경력,대졸↑,정규직,,"데이터분석가, OracleDB, RDBMS, 백엔드/서버개발, 프론트엔드 외 수정일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46710157&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
에이블사이언스파마(주) 부문별 신입 및 경력사원 채용,에이블사이언스파마(주),수정일 23/10/06,~ 10/19(목),서울 관악구,신입·경력,대졸↑,정규직·인턴직,,"프론트엔드, APM, 문서작성, 사무보조, Excel 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46697687&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[머크 코리아] 각 부문 신입/경력 공개채용 (제약/바이오/화학),머크(주),수정일 23/10/06,~ 11/04(토),서울 강남구,경력무관,대졸↑,정규직·계약직,,"기술영업, 영업마케팅, 영업전략, 제약영업, R&D 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46693443&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
CJ올리브네트웍스 수시 채용,씨제이올리브네트웍스(주),등록일 23/09/27,~ 10/22(일),서울 용산구,경력 4~16년,대졸↑,정규직,,"데이터엔지니어, 데이터마이닝, 빅데이터, SI개발, 딥러닝 외 등록일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46667909&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[발산/마곡] LG 계열사 D2C 온라인몰 마케팅 직무 채용건,(주)맨파워그룹코리아,등록일 23/10/10,~ 11/09(목),서울 강서구,경력무관,학력무관,정규직,,"사무보조, 사이트관리, 콘텐츠관리, Excel, 기획MD 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46720048&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
