공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
[에너지IT기업 해줌] 데이터사이언티스트,(주)해줌,수정일 23/09/11,상시채용,서울전체,경력 3~20년,초대졸↑,정규직,,"데이터분석가, 딥러닝, 머신러닝, 블록체인, 빅데이터 외 수정일 23/09/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45121023&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
그루비사업부 데이터사이언티스트,(주)플래티어,수정일 23/07/27,상시채용,서울전체,경력 1~10년,대졸↑,정규직,,"데이터분석가, 백엔드/서버개발, 웹개발, SE(시스템엔지니어), 데이터마이닝 외 수정일 23/07/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45631132&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
코스닥 상장 ㈜플래티어 그루비사업부 데이터사이언티스트 채용,(주)플래티어,등록일 23/08/23,상시채용,서울 송파구,경력 3~6년,초대졸↑,정규직,,"데이터분석가, 빅데이터, AWS, Git, Java 외 등록일 23/08/23",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46423829&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
데이터사이언티스트 (분석가) 채용,(주)파이디지털헬스케어,등록일 23/10/04,채용시,서울 서대문구,경력 2~10년,대졸↑,정규직·계약직,,"데이터분석가, 데이터마이닝, 머신러닝, 빅데이터, 알고리즘 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46681321&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
[에너지 IT기업 해줌] 데이터사이언티스트 채용,주식회사 해줌,등록일 23/09/23,~ 10/23(월),서울 송파구,경력 3~19년,대졸↑,정규직,,"데이터분석가, 딥러닝, 머신러닝, 빅데이터, 알고리즘 외 등록일 23/09/23",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46641201&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
[국내 코스닥 상장업체] 데이터사이언티스트 팀장,(주)휴먼트리월드와이드,등록일 23/10/03,~ 11/02(목),서울 강남구,경력 8~15년,대졸↑,정규직,,"데이터마이닝, 데이터시각화, 딥러닝, 머신러닝, 빅데이터 외 등록일 23/10/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46675187&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
[국내 코스닥 상장업체] 데이터사이언티스트 팀원,(주)휴먼트리월드와이드,등록일 23/10/03,~ 11/02(목),서울 강남구,경력 1~6년,대졸↑,정규직,,"데이터마이닝, 데이터시각화, 딥러닝, 머신러닝, 빅데이터 외 등록일 23/10/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46675188&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
[태양광대기업] 데이터사이언티스트 부문,(주)에이스파트너스서치펌,등록일 23/10/06,~ 11/05(일),충북 진천군,경력 3~13년,대졸↑,정규직,,"솔루션, MES, FA(공장자동화), 제조, 딥러닝 외 등록일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46707648&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
데이터사이언티스트& 조직·인사 경영컨설턴트 모집[주4일근무],(주)라이언앤코,수정일 23/10/04,상시채용,서울 강남구,신입·경력,대졸↑,정규직,,"HR컨설팅, 컨설턴트, 경영컨설팅, 인사, 교육기획 외 수정일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46451929&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
[NHN] 페이코 서비스 데이터 사이언티스트,엔에이치엔(주),수정일 23/09/11,채용시,경기 성남시 분당구,경력2년↑,학력무관,정규직,,"데이터분석가, 데이터엔지니어, 빅데이터, 데이터분석, 머신러닝 외 수정일 23/09/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46550884&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
