공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
(주)스카이오토넷 - 자율주행사업부 HW회로설계 개발자 (경력),(주)스카이오토넷,등록일 23/10/10,~ 12/08(금),서울 서초구,경력4년↑,초대졸↑,정규직,,"머신러닝, 솔루션, 영상처리, 임베디드, 자율주행 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46724054&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=db9d9e52-e652-4b38-9ae4-e96c4748c2b8
자율주행 및 전문서비스로봇 기구설계 엔지니어 채용-경력 우대,(주)로보아이,등록일 23/10/05,~ 11/04(토),경북 구미시,신입·경력,대졸↑,정규직,"3,200 만원","자율주행, R&D, 로봇설계, 기계조작원, 기계설계 외 등록일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46692115&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=db9d9e52-e652-4b38-9ae4-e96c4748c2b8
자율주행 및 전문서비스로봇 제어/SW 엔지니어 채용-경력직우대,(주)로보아이,등록일 23/10/09,~ 11/08(수),대구 수성구,신입·경력,대졸↑,정규직,"3,200 만원","자율주행, 임베디드, C#, C++, C언어 외 등록일 23/10/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46718849&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=db9d9e52-e652-4b38-9ae4-e96c4748c2b8
[사세확장 충원] 자율주행차 운영 및 데이터 관리(세종),(주)오토노머스에이투지,등록일 23/10/05,채용시,세종특별자치시,경력무관,초대졸↑,계약직,250 (면접 후 협의),"자율주행, 데이터분석가, 유지보수, 자율주행, R&D 외 등록일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46694600&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=db9d9e52-e652-4b38-9ae4-e96c4748c2b8
자율주행로봇&협동로봇 운영 엔지니어 채용 (신입/경력),인아텍앤코포 (주),수정일 23/10/10,~ 10/31(화),인천 남동구,경력무관,초대졸↑,정규직,,"기계조작원, 자동화라인, 메카트로닉스, 기구설계, 전장설계 외 수정일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46722731&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=db9d9e52-e652-4b38-9ae4-e96c4748c2b8
한국생산기술연구원 자율주행분야 연구보조 모집 공고,한국생산기술연구원,등록일 23/09/27,~ 10/16(월),광주 북구,경력무관,대졸↑,계약직·아르바이트,,"자율주행, 알고리즘, 자율주행, AI(인공지능), Python 외 등록일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46666543&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=db9d9e52-e652-4b38-9ae4-e96c4748c2b8
"[자율주행/서울] Deep Learning, SW Engineer",(주)아데코코리아,등록일 23/10/05,~ 11/04(토),서울 강남구,경력무관,대졸↑,정규직,,"알고리즘, 영상처리, 이미지프로세싱, 임베디드, 자율주행 외 등록일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46697504&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=db9d9e52-e652-4b38-9ae4-e96c4748c2b8
[1000대기업] AI/자율주행 플랫폼 IT서비스기획(웹/앱),(주)키스템프그룹,등록일 23/10/10,~ 10/17(화),서울 서초구,경력 7~17년,대졸↑,정규직,,"웹개발, 프론트엔드, IT컨설팅, SI개발, 모델링 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46727462&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=db9d9e52-e652-4b38-9ae4-e96c4748c2b8
[SWM] 자율주행 전장 HW 개발 [신입/경력] 모집,(주)에스더블유엠,수정일 23/09/22,~ 10/21(토),경기 안양시 동안구,신입·경력,대졸↑,정규직,,"자율주행, 임베디드, H/W, 전장설계, PCB 외 수정일 23/09/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46407439&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=db9d9e52-e652-4b38-9ae4-e96c4748c2b8
자율주행 및 자동차 가상 시뮬레이션 (신입),아이피지오토모티브코리아(유),수정일 23/09/14,채용시,서울 송파구,신입,대졸↑,정규직,,"자율주행, 기술연구, 메카트로닉스, 자동차, 메카트로닉스 외 수정일 23/09/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46578731&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=db9d9e52-e652-4b38-9ae4-e96c4748c2b8
