공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
프랑스어 강사 모집 공고 (신규 지점 오픈),플라네,등록일 23/10/10,~ 11/09(목),서울 종로구,신입·경력,대졸↑,프리랜서,"60,000 원","학원강사, 어학원 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46728579&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
2023 하반기 프랑스어/독일어/스페인어/이탈리아어 통번역가채용,라벨라컴퍼니(LA VELA COMPANY),등록일 23/09/12,내일마감,대전 유성구,경력무관,학력무관,프리랜서,,"SNS, 통/번역, 영상자막, 영상편집, 일본어 외 등록일 23/09/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46566752&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
[프랑스어/French] Overseas Sales & CS Internship,(주)오토위니,수정일 23/09/27,~ 10/27(금),서울 강남구,신입,학력무관,정규직·계약직,,"영업마케팅, 온라인판매, 해외영업, B2B, 거래처관리 외 수정일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46665640&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
(재택근무) 한국어-프랑스어 음성녹음 관리 1명,(주)디엠티랩스,등록일 23/10/05,~ 11/04(토),서울 용산구,경력무관,학력무관,기간제·계약직,,"통/번역, 불어, 프랑스어, 음성녹음, 관광통역 등록일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46701842&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
[기획본부] 2024파리올림픽 코리아 하우스 운영(프랑스어 필수),㈜코틴기획,등록일 23/10/04,~ 11/03(금),서울 송파구,신입·경력,초대졸↑,정규직·계약직,,"공연기획, 공연예술, 행사기획, 이벤트프로모션, BTL 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46690589&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
프랑스어(불어) 프리랜서 번역사 모집합니다.,주식회사 에이스그룹인터네셔널,등록일 23/10/06,~ 11/05(일),서울 강남구,경력3년↑,대졸↑,프리랜서,,"통/번역, 관광통역 등록일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46705322&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
프랑스어 강사 모집 공고 (강남점 오픈),플라네 강남점,등록일 23/10/10,~ 11/09(목),서울 서초구,경력무관,대졸↑,프리랜서,"60,000 원","학원강사, 어학원 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46728665&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
[프랑스어] 서울 알리앙스 프랑세즈 프랑스어 강사채용,(주)알리앙스프랑세즈한국위원회,등록일 23/09/04,~ 11/03(금),서울 중구,경력무관,대졸↑,프리랜서,,"학원강사, 어학원 등록일 23/09/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46504345&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
프랑스어 강사 채용,닥터킴어학원,등록일 23/09/16,~ 10/16(월),부산 금정구,경력1년↑,대졸↑,파트·기간제,,"원어민강사, 파트강사, 학원강사, 어학원, 입시학원 외 등록일 23/09/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46595603&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
프랑스어 강사 채용 신입/경력 채용,닥터킴어학원,등록일 23/09/16,~ 10/16(월),부산 금정구,경력1년↑,대졸↑,파트·기간제,,"원어민강사, 파트강사, 학원강사, 어학원, 유학원 외 등록일 23/09/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46595695&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
